cnt;adr;fei;rssi;rawcm;rssicor;feicor;res;corres
2419;0x77;182559;113;833;775;-1880;-272;49
2420;0x55;180947;72;8660;219;-1863;7016;5798
2421;0x66;182559;76;10235;198;-1880;8553;7950
2422;0x77;176111;113;957;775;-1813;-81;65
2423;0x55;180947;72;8635;219;-1863;6991;5766
2424;0x66;176111;76;9731;198;-1813;8116;7317
2425;0x77;176111;113;748;775;-1813;-290;50
2426;0x55;180947;71;8572;230;-1863;6939;5701
2427;0x66;182559;76;10125;198;-1880;8443;7791
2428;0x77;182559;113;754;775;-1880;-351;58
2429;0x55;180947;70;8121;223;-1863;6481;5160
2430;0x66;182559;76;9800;198;-1880;8118;7320
2431;0x77;182559;113;901;775;-1880;-204;49
2432;0x55;180947;70;8358;223;-1863;6718;5432
2433;0x66;182559;76;9859;198;-1880;8177;7405
2434;0x77;182559;112;1070;745;-1880;-65;69
2435;0x55;181753;71;8836;230;-1872;7194;6028
2436;0x66;182559;76;9582;198;-1880;7900;7005
2437;0x77;182559;113;685;775;-1880;-420;74
2438;0x55;181753;71;8252;230;-1872;6610;5306
2439;0x66;182559;75;9737;228;-1880;8085;7272
2440;0x77;182559;112;908;745;-1880;-227;48
2441;0x55;181753;70;8685;223;-1872;7036;5823
2442;0x66;176917;75;9512;228;-1822;7918;7031
2443;0x77;176917;113;1045;775;-1822;-2;86
2444;0x55;181753;71;9091;230;-1872;7449;6370
2445;0x66;176917;75;9451;228;-1822;7857;6943
2446;0x77;176917;112;894;745;-1822;-183;50
2447;0x55;181753;71;9104;230;-1872;7462;6388
2448;0x66;182559;75;9969;228;-1880;8317;7609
2449;0x77;182559;112;872;745;-1880;-263;48
2450;0x55;181753;71;9075;230;-1872;7433;6348
2451;0x66;176917;75;9476;228;-1822;7882;6979
2452;0x77;176917;114;1056;789;-1822;23;94
2453;0x55;181753;70;8820;223;-1872;7171;5998
2454;0x66;176917;75;9726;228;-1822;8132;7340
2455;0x77;176917;113;678;775;-1822;-369;61
2456;0x55;181753;71;9120;230;-1872;7478;6410
2457;0x66;181753;75;9893;228;-1872;8249;7510
2458;0x77;181753;112;761;745;-1872;-366;60
2459;0x55;181753;71;8899;230;-1872;7257;6111
2460;0x66;181753;75;9888;228;-1872;8244;7503
2461;0x77;181753;113;960;775;-1872;-137;55
2462;0x55;181753;72;9106;219;-1872;7453;6376
2463;0x66;181753;75;9787;228;-1872;8143;7356
2464;0x77;181753;112;664;745;-1872;-463;88
2465;0x55;180947;71;9005;230;-1863;7372;6265
2466;0x66;182559;76;9967;198;-1880;8285;7562
2467;0x77;182559;113;716;775;-1880;-389;65
2468;0x55;180947;71;8671;230;-1863;7038;5826
2469;0x66;182559;75;9843;228;-1880;8191;7426
2470;0x77;176111;113;1072;775;-1813;34;97
2471;0x55;180947;72;8883;219;-1863;7239;6087
2472;0x66;176111;75;9789;228;-1813;8204;7445
2473;0x77;176111;113;754;775;-1813;-284;50
2474;0x55;181753;72;9219;219;-1872;7566;6532
2475;0x66;176111;76;9746;198;-1813;8131;7339
2476;0x77;181753;111;1038;791;-1872;-43;74
2477;0x55;181753;72;8969;219;-1872;7316;6190
2478;0x66;181753;76;10019;198;-1872;8345;7649
2479;0x77;181753;113;748;775;-1872;-349;57
2480;0x55;181753;71;8849;230;-1872;7207;6045
2481;0x66;176917;76;9744;198;-1822;8120;7323
2482;0x77;176917;113;1047;775;-1822;0;86
2483;0x55;180947;71;9271;230;-1863;7638;6632
2484;0x66;176917;76;9868;198;-1822;8244;7503
2485;0x77;181753;112;768;745;-1872;-359;59
2486;0x55;180947;71;8707;230;-1863;7074;5872
2487;0x66;181753;75;10125;228;-1872;8481;7846
2488;0x77;181753;112;703;745;-1872;-424;75
2489;0x55;180947;71;8464;230;-1863;6831;5568
2490;0x66;181753;75;9942;228;-1872;8298;7581
